Sektor,Saham_Y,Saham_X,Test_Statistic,P_Value
barang_baku,HKMU,ESSA,-7.203201078138223,2.7949495042457274e-09
barang_baku,HKMU,UNIC,-7.174412555265833,3.279544337537761e-09
barang_baku,IFII,PSAB,-7.022952665726399,7.566725500068817e-09
barang_baku,HKMU,ALKA,-7.008628556625318,8.185507880031847e-09
barang_baku,HKMU,SMGR,-6.9911862853303886,9.006706440291433e-09
barang_baku,HKMU,SMKL,-6.944243891171434,1.1642364725545345e-08
barang_baku,HKMU,IFSH,-6.93680506897657,1.2124670432668828e-08
barang_baku,HKMU,APLI,-6.93307609019292,1.2373803152524216e-08
barang_baku,HKMU,KMTR,-6.8870149017191595,1.59002215049234e-08
barang_baku,HKMU,BTON,-6.818669132576408,2.302807001877196e-08
barang_baku,HKMU,ALDO,-6.685120265525,4.7200053882194376e-08
barang_baku,HKMU,AKPI,-6.641651153446274,5.951333055946137e-08
barang_baku,HKMU,MDKA,-6.639616750270796,6.016115600706674e-08
barang_baku,HKMU,SMCB,-6.636544283526454,6.115269764383578e-08
barang_baku,IFII,PURE,-6.618399539295177,6.734441448411811e-08
barang_baku,HKMU,YPAS,-6.616212810455335,6.813100720348024e-08
barang_baku,PICO,ALMI,-6.597041289284832,7.54251864277294e-08
barang_baku,IFII,MOLI,-6.588395336456731,7.896073744722632e-08
barang_baku,HKMU,ISSP,-6.577075716530956,8.383666771883985e-08
barang_baku,HKMU,LMSH,-6.577066541240564,8.384073751006199e-08
barang_konsumsi_non_primer,TELE,PMJS,-7.134718247873164,4.086396231961623e-09
barang_konsumsi_non_primer,TELE,MAPI,-6.94745676983306,1.143994989905558e-08
barang_konsumsi_non_primer,TELE,BOGA,-6.8698861663254025,1.7450154308372886e-08
barang_konsumsi_non_primer,GDYR,GLOB,-6.687264776286636,4.6662266937808406e-08
barang_konsumsi_non_primer,TELE,PANR,-6.609982916490579,7.042181046843285e-08
barang_konsumsi_non_primer,TELE,FILM,-6.323123301188971,3.1603192899193277e-07
barang_konsumsi_non_primer,PBRX,MICE,-6.197925424654381,6.001411511928338e-07
barang_konsumsi_non_primer,TELE,CSAP,-6.161192721973702,7.231547763475798e-07
