Sektor,Saham_Y,Saham_X,Test_Statistic,P_Value
barang_baku,HKMU,ESSA,-7.203201078138223,2.7949495042457274e-09
barang_baku,HKMU,UNIC,-7.174412555265833,3.279544337537761e-09
barang_baku,IFII,PSAB,-7.022952665726399,7.566725500068817e-09
barang_baku,HKMU,ALKA,-7.008628556625318,8.185507880031847e-09
barang_baku,HKMU,SMGR,-6.9911862853303886,9.006706440291433e-09
barang_baku,HKMU,SMKL,-6.944243891171434,1.1642364725545345e-08
barang_baku,HKMU,IFSH,-6.93680506897657,1.2124670432668828e-08
barang_baku,HKMU,APLI,-6.93307609019292,1.2373803152524216e-08
barang_baku,HKMU,KMTR,-6.8870149017191595,1.59002215049234e-08
barang_baku,HKMU,BTON,-6.818669132576408,2.302807001877196e-08
barang_baku,HKMU,ALDO,-6.685120265525,4.7200053882194376e-08
barang_baku,HKMU,AKPI,-6.641651153446274,5.951333055946137e-08
barang_baku,HKMU,MDKA,-6.639616750270796,6.016115600706674e-08
barang_baku,HKMU,SMCB,-6.636544283526454,6.115269764383578e-08
barang_baku,IFII,PURE,-6.618399539295177,6.734441448411811e-08
barang_baku,HKMU,YPAS,-6.616212810455335,6.813100720348024e-08
barang_baku,PICO,ALMI,-6.597041289284832,7.54251864277294e-08
barang_baku,IFII,MOLI,-6.588395336456731,7.896073744722632e-08
barang_baku,HKMU,ISSP,-6.577075716530956,8.383666771883985e-08
barang_baku,HKMU,LMSH,-6.577066541240564,8.384073751006199e-08
barang_baku,HKMU,GDST,-6.483206559910344,1.374529554952007e-07
barang_baku,YPAS,MDKA,-6.4557955142233805,1.586666645340147e-07
barang_baku,IFII,TRST,-6.395204146017022,2.1760056122273122e-07
barang_baku,IFII,AGII,-6.337066913561227,2.9408665140255297e-07
barang_baku,IFII,BTON,-6.21609933787363,5.470951861946645e-07
barang_baku,HKMU,FPNI,-6.187627870862247,6.323958081041181e-07
barang_baku,IFII,INAI,-6.175344341468808,6.730917696304499e-07
barang_baku,HKMU,CLPI,-6.08043303109881,1.0865515824737227e-06
barang_baku,IFII,AKPI,-6.052862630330537,1.2474532855003938e-06
barang_baku,IFII,SQMI,-6.022221447838252,1.4535876750719485e-06
