Sektor,Saham_Y,Saham_X,Test_Statistic,P_Value
barang_baku,HKMU,ESSA,-7.203201078138223,2.7949495042457274e-09
barang_baku,HKMU,UNIC,-7.174412555265833,3.279544337537761e-09
barang_baku,IFII,PSAB,-7.022952665726399,7.566725500068817e-09
barang_baku,HKMU,ALKA,-7.008628556625318,8.185507880031847e-09
barang_baku,HKMU,SMGR,-6.9911862853303886,9.006706440291433e-09
barang_baku,HKMU,SMKL,-6.944243891171434,1.1642364725545345e-08
barang_baku,HKMU,IFSH,-6.93680506897657,1.2124670432668828e-08
barang_baku,HKMU,APLI,-6.93307609019292,1.2373803152524216e-08
barang_baku,HKMU,KMTR,-6.8870149017191595,1.59002215049234e-08
barang_baku,HKMU,BTON,-6.818669132576408,2.302807001877196e-08
barang_konsumsi_non_primer,TELE,PMJS,-7.134718247873164,4.086396231961623e-09
barang_konsumsi_non_primer,TELE,MAPI,-6.94745676983306,1.143994989905558e-08
barang_konsumsi_non_primer,TELE,BOGA,-6.8698861663254025,1.7450154308372886e-08
barang_konsumsi_non_primer,GDYR,GLOB,-6.687264776286636,4.6662266937808406e-08
barang_konsumsi_non_primer,TELE,PANR,-6.609982916490579,7.042181046843285e-08
barang_konsumsi_non_primer,TELE,FILM,-6.323123301188971,3.1603192899193277e-07
barang_konsumsi_non_primer,PBRX,MICE,-6.197925424654381,6.001411511928338e-07
barang_konsumsi_non_primer,TELE,CSAP,-6.161192721973702,7.231547763475798e-07
barang_konsumsi_non_primer,PZZA,TMPO,-6.113002016547003,9.22456094411576e-07
barang_konsumsi_non_primer,TELE,KPIG,-6.091615138460045,1.0272326710178295e-06
barang_konsumsi_primer,SKBM,MGRO,-6.524798320880485,1.1047263985081135e-07
barang_konsumsi_primer,SKBM,SIPD,-6.478895257854761,1.4059472705248686e-07
barang_konsumsi_primer,DLTA,ITIC,-6.307337851540727,3.428143466193152e-07
barang_konsumsi_primer,SKBM,DSFI,-6.242810246087731,4.773574683125782e-07
barang_konsumsi_primer,SKBM,LSIP,-6.075444299248588,1.1140821368969967e-06
barang_konsumsi_primer,SKBM,WAPO,-6.066238082164461,1.16668530413213e-06
barang_konsumsi_primer,WICO,BUDI,-6.020511855684507,1.4660186538309554e-06
